unique_id,date,name,category,type,rating,price,average_revenue
140525134506832,2024-10-06,Presidential Suite,HotelRoom,Travel,1,1026,89427.71
140525134507600,2024-07-24,Executive Suite,HotelRoom,Travel,2,656,97402.71
140525120899280,2024-07-21,Executive Suite,HotelRoom,Travel,1,673,77797.96
140525120898000,2024-10-05,Executive Suite,HotelRoom,Travel,2,668,99784.76
140525120898768,2024-07-29,Presidential Suite,HotelRoom,Travel,3,1038,93703.15
140525120897744,2024-11-06,Presidential Suite,HotelRoom,Travel,3,975,85653.51
140525120898512,2024-10-01,Executive Suite,HotelRoom,Travel,1,698,89080.69
140525120897232,2024-08-27,Presidential Suite,HotelRoom,Travel,3,1034,90180.6
140525120898256,2024-09-05,Executive Suite,HotelRoom,Travel,1,693,87892.28
140525120899024,2024-08-19,Executive Suite,HotelRoom,Travel,2,594,97616.76
140525120897488,2024-09-28,Presidential Suite,HotelRoom,Travel,2,934,81381.96
140525120900240,2024-05-24,Executive Suite,HotelRoom,Travel,1,606,89235.32
140525120901200,2024-09-18,Executive Suite,HotelRoom,Travel,,681,95694.5
140525120901968,2024-11-17,Presidential Suite,HotelRoom,Travel,3,850,96791.98
140525120902224,2024-10-12,Executive Suite,HotelRoom,Travel,2,523,95054.55
140525120902480,2024-09-13,Executive Suite,HotelRoom,Travel,1,651,77819.67
140525120902736,2024-12-22,Presidential Suite,HotelRoom,Travel,1,1094,94092.82
140525120902992,2024-08-18,Presidential Suite,HotelRoom,Travel,1,1061,72567.37
140525120903248,2024-10-31,Executive Suite,HotelRoom,Travel,2,683,96815.31
140525120903504,2024-10-22,Executive Suite,HotelRoom,Travel,2,575,72269.46
140525120903760,2024-11-14,Presidential Suite,HotelRoom,Travel,2,1081,93936.04
140525120904016,2024-07-21,Presidential Suite,HotelRoom,Travel,2,990,77696.22
140525120904528,2024-12-03,Executive Suite,HotelRoom,Travel,1,651,93803.8
140525120904272,2024-11-13,Presidential Suite,HotelRoom,Travel,3,999,85703.07
140525120904784,2024-08-02,Presidential Suite,HotelRoom,Travel,2,946,97957.65
140525120905040,2024-10-05,Presidential Suite,HotelRoom,Travel,1,1061,98993.19
140525120905296,2024-10-10,Executive Suite,HotelRoom,Travel,3,652,79271.75
140525120905552,2024-12-26,Presidential Suite,HotelRoom,Travel,,1095,92952.71
140525120905808,2024-08-16,Presidential Suite,HotelRoom,Travel,3,1043,85272.22
140525120906064,2024-10-22,Presidential Suite,HotelRoom,Travel,1,1024,82353.32
140525120906320,2024-06-19,Executive Suite,HotelRoom,Travel,4,416,80051.1
140525120906576,2024-05-16,Executive Suite,HotelRoom,Travel,2,648,92304.47
140525120906832,2024-11-03,Presidential Suite,HotelRoom,Travel,,300,97450.28
140525120907088,2024-11-13,Presidential Suite,HotelRoom,Travel,3,1098,92528.89
140525120907344,2024-11-29,Executive Suite,HotelRoom,Travel,2,629,88872.79
140525120907600,2024-09-07,Presidential Suite,HotelRoom,Travel,2,1075,84953.29
140525120907856,2024-07-31,Executive Suite,HotelRoom,Travel,3,466,85460.69
140525120908112,2024-11-17,Executive Suite,HotelRoom,Travel,2,501,92665.17
140525120908368,,Executive Suite,HotelRoom,Travel,4,598,98383.5
140525120908624,2024-09-26,Executive Suite,HotelRoom,Travel,1,562,95060.15
140525120908880,2024-08-12,Executive Suite,HotelRoom,Travel,2,576,90997.98
140525120909136,2024-10-18,Presidential Suite,HotelRoom,Travel,3,1068,78761.6
140525120909328,2024-12-19,Presidential Suite,HotelRoom,Travel,2,945,89389.8
140525120909584,2024-07-19,Presidential Suite,HotelRoom,Travel,1,1064,77987.04
140525120909840,2024-12-17,Executive Suite,HotelRoom,Travel,2,573,76664.14
140525120910032,2024-07-20,Presidential Suite,HotelRoom,Travel,2,1089,88756.65
140525120910288,2024-07-13,Executive Suite,HotelRoom,Travel,2,502,97569.2
140525120910544,2024-05-04,Royal Suite,HotelRoom,Travel,2,1205,79439.88
140525120910800,2024-12-09,Presidential Suite,HotelRoom,Travel,2,987,87137.13
140525120910992,2024-10-03,Executive Suite,HotelRoom,Travel,1,,
140525120911184,2024-06-26,Executive Suite,HotelRoom,Travel,4,683,95341.84
140525120911440,2024-10-08,Executive Suite,HotelRoom,Travel,2,674,95293.7
140525120911696,,Executive Suite,HotelRoom,Travel,2,666,84900.47
140525120911952,2024-08-02,Executive Suite,HotelRoom,Travel,3,690,85962.01
140525120912208,2024-11-04,Royal Suite,HotelRoom,Travel,3,1490,97734.57
140525120912464,,Presidential Suite,HotelRoom,Travel,1,,
140525120912720,2024-12-13,Executive Suite,HotelRoom,Travel,2,,
140525120912976,2024-08-30,Presidential Suite,HotelRoom,Travel,2,825,99871.99
140525120913232,2024-10-29,Executive Suite,HotelRoom,Travel,1,505,95554.55
140525133513168,2024-11-15,Executive Suite,HotelRoom,Travel,3,,
140525133523408,,Executive Suite,HotelRoom,Travel,2,685,86212.05
140525133525264,2024-09-11,Executive Suite,HotelRoom,Travel,1,641,97116.89
140525133521104,2024-08-08,Presidential Suite,HotelRoom,Travel,2,855,85166.21
140525133514576,2024-12-15,Executive Suite,HotelRoom,Travel,3,610,87478.33
140525133515856,2024-08-29,Executive Suite,HotelRoom,Travel,3,609,85094.9
140525133514320,2024-11-24,Executive Suite,HotelRoom,Travel,1,,
140525133527440,2024-11-13,Executive Suite,HotelRoom,Travel,1,599,95543.45
140525133523536,2024-12-02,Royal Suite,HotelRoom,Travel,1,1432,98329.38
140525133518032,2024-11-17,Executive Suite,HotelRoom,Travel,2,600,93028.14
140525133527632,2024-12-03,Presidential Suite,HotelRoom,Travel,2,931,99111.79
140525133519184,,Executive Suite,HotelRoom,Travel,,665,89583.44
140525133528592,2024-08-09,Royal Suite,HotelRoom,Travel,2,1308,90239.31
140525133526736,2024-12-28,Presidential Suite,HotelRoom,Travel,4,1002,89052.72
140525133520656,2024-10-13,Presidential Suite,HotelRoom,Travel,1,990,80990.59
140525133514000,2024-09-14,Presidential Suite,HotelRoom,Travel,2,1065,82491.48
140525133524432,,Executive Suite,HotelRoom,Travel,3,517,96155.82
140525133528336,2024-12-04,Executive Suite,HotelRoom,Travel,2,677,97815.71
140525133517776,2024-05-15,Executive Suite,HotelRoom,Travel,1,695,88514.19
140525133513936,2024-11-24,Executive Suite,HotelRoom,Travel,3,474,77485.64
140525133521872,2024-09-22,Executive Suite,HotelRoom,Travel,2,555,85804.0
140525133521424,,Presidential Suite,HotelRoom,Travel,2,1074,81971.23
140525133515536,2024-11-27,Executive Suite,HotelRoom,Travel,1,518,83892.45
140525133520272,2024-11-08,Presidential Suite,HotelRoom,Travel,1,1093,86410.16
140525133516496,2024-07-24,Presidential Suite,HotelRoom,Travel,1,1030,79713.54
140525133514448,2024-10-25,Executive Suite,HotelRoom,Travel,,686,73668.86
140525133522320,2024-08-01,Presidential Suite,HotelRoom,Travel,1,1068,96070.54
140525133519120,2024-01-21,Royal Suite,HotelRoom,Travel,2,1461,81410.71
140525133527248,2024-04-24,Presidential Suite,HotelRoom,Travel,2,904,99473.46
140525133525712,2024-07-09,Executive Suite,HotelRoom,Travel,3,620,86785.17
140525133525584,2024-12-20,Presidential Suite,HotelRoom,Travel,2,946,69066.44
140525133527888,2024-10-09,Executive Suite,HotelRoom,Travel,3,,
140525133513616,2024-09-23,Presidential Suite,HotelRoom,Travel,1,948,98849.94
140525133525968,2024-12-28,Executive Suite,HotelRoom,Travel,1,663,84172.44
140525133523024,2024-08-01,Executive Suite,HotelRoom,Travel,1,568,84457.58
140525133523216,2024-11-16,Executive Suite,HotelRoom,Travel,4,597,89996.75
140525133527824,2024-11-15,Executive Suite,HotelRoom,Travel,2,577,99967.22
140525133525072,2024-09-23,Executive Suite,HotelRoom,Travel,3,491,69822.53
140525133521744,2024-08-15,Royal Suite,HotelRoom,Travel,3,,
140525133516560,2024-11-11,Executive Suite,HotelRoom,Travel,1,531,99256.91
140525133514768,2024-11-19,Presidential Suite,HotelRoom,Travel,4,1091,81057.18
140525133514256,2024-12-30,Presidential Suite,HotelRoom,Travel,2,890,98865.18
140525133516368,2024-08-28,Presidential Suite,HotelRoom,Travel,1,1093,94919.5
140525133515792,2024-07-24,Executive Suite,HotelRoom,Travel,1,635,99759.71
140525133528272,2024-11-03,Presidential Suite,HotelRoom,Travel,1,934,96892.63
140525133518480,,Royal Suite,HotelRoom,Travel,2,1436,71527.21
140525133528912,2024-06-10,Presidential Suite,HotelRoom,Travel,1,886,96419.36
140525133525136,2024-10-13,Presidential Suite,HotelRoom,Travel,1,980,77861.7
140525133517072,2024-04-02,Presidential Suite,HotelRoom,Travel,1,822,91037.86
140525133522256,2024-11-24,Presidential Suite,HotelRoom,Travel,1,853,93611.75
140525133519952,2024-04-19,Executive Suite,HotelRoom,Travel,3,545,98590.07
140525133518672,2024-12-04,Presidential Suite,HotelRoom,Travel,2,807,95485.47
140525133526416,2024-11-11,Presidential Suite,HotelRoom,Travel,3,973,99523.1
140525133526224,2024-12-08,Executive Suite,HotelRoom,Travel,3,564,99539.94
